parameters,simulationID,total,total_traced,total_not_traced,handled,handled_no_sla,dropped,avg_queue_time,avg_call_time,avg_drop_time,no_sla_ratio,drop_ratio
09-0.5-480-30-10-03-10-15-05,29,243,236,7,236,0,0,0.00411522633744856,9.694915254237289,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,30,247,243,4,242,0,1,0.044534412955465584,9.954545454545455,1.0,0.0,0.00411522633744856
12-0.5-480-30-10-03-10-15-05,1,241,236,5,236,0,0,0.0,9.915254237288135,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,2,252,249,3,249,0,0,0.0,10.38152610441767,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,3,251,247,4,247,0,0,0.0,9.959514170040485,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,4,255,252,3,252,0,0,0.0,9.884920634920634,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,5,226,221,5,221,0,0,0.0,9.55656108597285,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,6,247,240,7,240,0,0,0.0,10.091666666666667,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,7,240,231,9,231,0,0,0.0,9.545454545454545,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,8,232,226,6,226,0,0,0.0,10.446902654867257,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,9,234,228,6,228,0,0,0.0,10.192982456140351,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,10,225,224,1,224,0,0,0.0,9.602678571428571,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,11,240,236,4,236,0,0,0.0,10.097457627118644,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,12,248,240,8,240,0,0,0.0,10.291666666666666,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,13,246,241,5,241,0,0,0.0,9.67219917012448,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,14,252,248,4,248,0,0,0.0,10.016129032258064,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,15,226,222,4,222,0,0,0.0,9.936936936936936,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,16,245,238,7,238,0,0,0.0,9.974789915966387,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,17,242,238,4,238,0,0,0.0,10.289915966386555,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,18,231,227,4,227,0,0,0.0,9.823788546255507,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,19,234,230,4,230,0,0,0.0,10.091304347826087,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,20,253,250,3,250,0,0,0.0,9.96,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,21,232,226,6,226,0,0,0.0,9.9070796460177,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,22,249,242,7,242,0,0,0.0,9.896694214876034,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,23,238,232,6,232,0,0,0.0,9.724137931034482,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,24,239,234,5,234,0,0,0.0,10.132478632478632,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,25,225,221,4,221,0,0,0.0,10.117647058823529,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,26,246,241,5,241,0,0,0.0,9.879668049792532,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,27,251,247,4,247,0,0,0.0,10.0,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,28,235,229,6,229,0,0,0.0,9.882096069868995,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,29,235,226,9,226,0,0,0.0,10.030973451327434,,0.0,0.0
12-0.5-480-30-10-03-10-15-05,30,233,229,4,229,0,0,0.0,10.14410480349345,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,1,246,239,7,239,0,0,0.0,10.100418410041842,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,2,246,241,5,241,0,0,0.0,9.809128630705395,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,3,231,228,3,228,0,0,0.0,9.552631578947368,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,4,248,244,4,244,0,0,0.0,9.819672131147541,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,5,244,238,6,238,0,0,0.0,10.441176470588236,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,6,237,232,5,232,0,0,0.0,9.991379310344827,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,7,251,245,6,245,0,0,0.0,9.881632653061224,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,8,212,207,5,207,0,0,0.0,9.956521739130435,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,9,236,231,5,231,0,0,0.0,10.16017316017316,,0.0,0.0
